[3, 2, 7, 2, 623, 12, 6, 7, 8, 3, 1]
[3, 2, 2, 7, 623, 12, 6, 7, 8, 3, 1]
[3, 2, 2, 7, 12, 623, 6, 7, 8, 3, 1]
[3, 2, 2, 7, 12, 6, 623, 7, 8, 3, 1]
[3, 2, 2, 7, 12, 6, 7, 623, 8, 3, 1]
[3, 2, 2, 7, 12, 6, 7, 8, 623, 3, 1]
[3, 2, 2, 7, 12, 6, 7, 8, 3, 623, 1]
[3, 2, 2, 7, 12, 6, 7, 8, 3, 1, 623]
[2, 3, 2, 7, 12, 6, 7, 8, 3, 1, 623]
[2, 2, 3, 7, 12, 6, 7, 8, 3, 1, 623]
[2, 2, 3, 7, 6, 12, 7, 8, 3, 1, 623]
[2, 2, 3, 7, 6, 7, 12, 8, 3, 1, 623]
[2, 2, 3, 7, 6, 7, 8, 12, 3, 1, 623]
[2, 2, 3, 7, 6, 7, 8, 3, 12, 1, 623]
[2, 2, 3, 7, 6, 7, 8, 3, 1, 12, 623]
[2, 2, 3, 6, 7, 7, 8, 3, 1, 12, 623]
[2, 2, 3, 6, 7, 7, 3, 8, 1, 12, 623]
[2, 2, 3, 6, 7, 7, 3, 1, 8, 12, 623]
[2, 2, 3, 6, 7, 3, 7, 1, 8, 12, 623]
[2, 2, 3, 6, 7, 3, 1, 7, 8, 12, 623]
[2, 2, 3, 6, 3, 7, 1, 7, 8, 12, 623]
[2, 2, 3, 6, 3, 1, 7, 7, 8, 12, 623]
[2, 2, 3, 3, 6, 1, 7, 7, 8, 12, 623]
[2, 2, 3, 3, 1, 6, 7, 7, 8, 12, 623]
[2, 2, 3, 1, 3, 6, 7, 7, 8, 12, 623]
[2, 2, 1, 3, 3, 6, 7, 7, 8, 12, 623]
[2, 1, 2, 3, 3, 6, 7, 7, 8, 12, 623]
[1, 2, 2, 3, 3, 6, 7, 7, 8, 12, 623]
